projectAcronym,FOODGUARD,TITAN,EFF-CoP,WATSON,TealHelix,CATALYSE,BeSafeBeeHoney,ACT4FOOD,FoodDataQuest,BREADCRUMB,ALLIANCE
Gdansk University of Technology,0,0,0,0,0,0,1,0,0,0,0
AUA,1,0,0,0,0,0,0,0,0,0,0
Golden Island Ltd,0,0,0,0,0,0,1,0,0,0,0
GR Family Farm,0,0,0,0,0,0,0,1,0,0,0
GS1 GERMANY GMBH,0,0,0,0,1,0,0,0,0,0,0
GS1 IN EUROPE,0,0,0,0,0,0,0,0,1,0,0
HAMI,0,0,0,1,0,0,0,0,0,0,0
HELSINGIN YLIOPISTO,0,1,0,0,0,0,0,0,0,0,0
HERMES AS,0,0,0,1,0,0,0,0,0,0,0
Hrvatski Veterinarski Institut,0,0,0,0,0,0,1,0,0,0,0
UBER,0,0,0,1,0,0,0,0,0,0,0
Ianus Technologies Ltd,0,0,0,0,0,0,0,1,0,0,0
INESC TEC,0,0,0,1,0,0,0,0,0,0,0
INNOV-ACTS Limited,0,0,0,0,0,0,0,1,0,0,0
Ifremer,1,0,0,0,0,0,0,0,0,0,0
Institut Jozef Stefan,0,0,0,0,0,0,1,0,0,0,0
INRAE,0,1,0,1,0,0,0,0,0,0,0
FINS,0,0,0,0,0,0,0,0,0,0,1
INMES,0,0,0,0,0,0,1,0,0,0,0
SAS,0,0,0,0,0,0,1,0,0,0,0
IRIAF,0,0,0,0,0,0,1,0,0,0,0
IFOAM,0,0,1,0,0,0,0,0,0,0,0
INL,0,1,0,0,0,0,0,0,0,0,0
ILSI Europe A.I.S.B.L.,0,1,0,0,0,1,0,0,0,0,0
AI TALENTUM,0,1,0,0,0,0,0,0,0,0,0
IFA,0,0,0,1,0,0,0,0,0,0,0
Istituto Zooprofilattico Sperimentale,0,0,0,0,0,0,1,0,0,0,0
ITC,0,0,0,0,0,0,0,0,0,1,0
JRC,0,0,0,1,0,0,0,0,0,0,0
June Communications,0,0,0,0,0,0,0,1,0,0,0
KU Leuven,0,0,0,0,1,0,0,0,0,0,0
Kingston University,0,0,0,0,0,0,1,0,0,0,0
UCPH,0,0,0,0,0,0,0,0,1,1,0
GREEK FAMILY FARM,1,0,0,0,0,0,0,0,0,0,0
L&F,0,0,0,0,0,0,0,0,0,1,0
LEHMANN NATUR,0,0,0,0,0,0,0,0,0,1,0
LEIBNIZ-INSTITUT HKI,1,0,0,0,0,0,0,0,0,0,0
LGC LIMITED,0,0,1,0,0,0,0,0,0,0,0
LSMU,0,0,0,0,0,0,1,0,0,0,0
Maggioli S.p.A.,0,0,0,0,0,0,0,1,0,0,0
MANTISPECTRA B.V.,1,0,0,0,0,0,0,0,0,0,0
PROLONGO,1,0,0,0,0,0,0,0,0,0,0
MRI,0,0,0,1,0,0,0,0,0,0,0
SONAE,0,0,0,0,0,0,0,0,0,1,0
MCC BEST VALUE LTD,1,0,0,0,0,0,0,0,0,0,0
MENA GROUP,0,0,0,0,0,0,0,0,0,0,1
METRO A.E. ,0,0,0,0,0,0,0,1,0,0,0
METRO,0,0,0,1,0,0,0,0,0,0,0
MICROBION SRL,0,1,0,0,0,0,0,0,0,0,0
MIGROS TICARET,0,0,0,1,0,0,0,0,0,0,1
MITERA GMBH,0,0,0,1,0,0,0,0,0,0,0
MODELO CONTINENTE HIPERMERCADOS,0,0,0,0,0,0,0,0,0,1,0
Montimage EURL ,0,0,0,0,0,0,0,1,0,0,0
NATURA NUOVA SPA CONSORTILE,0,0,0,0,0,0,0,0,0,1,0
NETCOMPANY S.A.,1,0,0,1,0,0,0,0,1,0,1
NIJSEN COMPANY BV,0,0,0,0,0,0,0,0,1,0,0
NOFIMA,0,0,1,0,0,1,0,0,0,0,0
NMBU,0,0,0,0,0,0,1,0,0,0,0
United Aquaculture,0,0,0,0,0,0,0,1,0,0,0
Organe Institute ApS,0,0,0,0,0,0,1,0,0,0,0
PACK4FOOD,1,0,0,0,0,0,0,0,0,0,0
PALAU,0,0,0,0,0,0,0,0,1,0,0
PANEPISTIMIO THESSALIAS,0,0,0,0,0,0,0,0,0,0,1
BIOR,0,0,0,0,0,0,1,0,0,0,0
PHILOSOFISH S.A.,1,0,0,0,0,0,0,0,0,0,0
PNO INNOVATION SL,0,0,0,0,0,0,0,0,0,1,0
Poznan University of Life Sciences,0,0,0,0,0,0,1,0,0,0,0
ASSOCIATION PROCHEESE,0,0,0,0,0,1,0,0,0,0,0
QUADRAM INSTITUTE,0,0,0,0,0,1,0,0,0,0,0
REFRAME.FOOD,0,1,0,1,0,0,0,0,1,0,0
RESILIENCE GUARD,0,0,0,1,0,0,0,0,0,0,0
INSME,0,0,1,0,0,0,0,0,0,0,0
REZOS,0,0,1,0,0,0,0,0,0,0,0
RUG,0,0,0,0,1,0,0,0,0,0,0
RIMI EESTI FOOD,0,0,0,0,1,0,0,0,0,0,0
RMS 001 DOO,0,0,0,0,0,0,0,0,0,0,1
RUOKAVIRASTO,0,0,0,0,0,1,0,0,0,0,0
SAFE FOOD ADVOCACY EUROPE,0,0,0,0,1,0,0,0,0,0,0
SAKANA CONSULTANTS,0,1,0,0,0,0,0,0,0,0,0
SIA RIMI BALTIC,0,0,0,0,1,0,0,0,0,0,0
SINTEF,0,0,0,1,0,0,0,0,0,0,0
SINTEF NORD,0,0,0,1,0,0,0,0,0,0,0
Slovenska Polnohospodarska,0,0,0,0,0,0,1,0,0,0,0
SUA IN NITRA,0,0,0,0,0,1,0,0,0,0,0
SmartAgroHub S.A.,1,0,1,1,0,0,0,0,0,0,0
Aprol Umbria,0,0,0,1,0,0,0,0,0,0,0
SSAFE,0,0,1,0,0,0,0,0,0,0,0
SGL,0,0,0,0,0,0,2,0,0,0,0
EFFoST,0,1,0,0,0,1,0,0,1,0,0
Fraude Film Festival,0,0,1,0,0,0,0,0,0,0,0
FSSC,0,0,1,0,0,0,0,0,0,0,0
VU,0,0,0,0,1,0,0,0,0,0,0
WR,0,0,0,0,0,0,0,0,1,0,0
SAR,0,0,0,0,1,0,0,0,0,0,0
SVEUCILISTE U ZAGREBU,0,0,0,0,0,0,0,0,0,0,1
SYMBEEOSIS EY ZHN A.E,0,1,0,0,0,0,0,0,0,0,0
SYNELIXIS,0,0,0,1,0,0,0,0,0,0,0
SYREON,0,0,0,0,0,1,0,0,1,0,0
TAMPERE UNIVERSITY,0,0,0,0,0,0,0,0,1,0,0
Technical University of Munich,0,0,0,0,0,0,1,0,0,0,0
TU Delft,0,1,0,0,0,0,0,0,0,0,0
VTT,1,0,0,1,0,0,0,0,0,0,0
Volcani Centre,0,0,0,0,0,0,1,0,0,0,0
THE LISBON COUNCIL,0,0,0,1,0,0,0,0,0,0,1
The New Fork,0,1,0,0,0,0,0,0,0,0,0
QUB,0,1,0,0,0,0,0,0,0,0,0
THE WORLD BEE PROJECT,0,0,0,0,0,0,0,0,0,0,1
TOTALCTRL,0,1,0,0,0,0,0,0,0,0,0
UBITECH LIMITED,0,0,0,1,0,0,0,0,0,0,0
UDRUGA DIH AGRIHRANA HRVATSKA,0,0,1,0,0,0,0,0,0,0,0
UDRUGA PROIZVODACA LICKOG KRUMPIRA,0,0,0,0,0,0,0,0,0,0,1
FOODSCALE HUB,0,2,0,0,0,0,0,0,0,0,0
UNIONE NAZIONALE CONSUMATORI,1,0,0,1,0,0,0,0,0,0,0
USC,0,1,0,0,0,0,1,0,0,0,0
UPCT,0,0,0,0,0,0,0,1,0,0,0
UCP,0,0,0,0,0,1,0,0,0,0,0
Universidade de Coimbra,0,0,0,0,0,0,1,0,0,0,0
Universidade Lusófona,0,0,0,0,0,0,1,0,0,0,0
UCSC,0,1,0,0,0,1,0,0,0,0,0
Universita' ta' Malta,0,0,0,0,0,0,1,0,0,0,0
BOKU,0,0,0,0,1,0,0,0,0,0,0
UNIVERSITAET ST. GALLEN,0,0,0,0,1,0,0,0,0,0,0
UNIVERSITAT BAYREUTH,0,0,0,1,0,0,0,0,0,0,0
UNILU,0,0,0,0,1,0,0,0,0,0,0
Universitatea Valahia Targoviste,0,0,0,0,0,0,1,0,0,0,0
UGent,1,0,0,0,0,0,0,0,0,0,0
St. Kliment Ohridski,0,0,0,0,0,0,1,0,0,0,0
UCD,0,0,1,1,0,0,1,0,0,0,0
USAMV,0,0,0,0,0,0,1,0,0,0,0
University of Belgrade,0,0,0,0,0,0,1,0,0,0,0
University of Cukurova,0,0,0,0,0,0,1,0,0,0,0
University of Helsinki,0,0,0,0,0,0,1,0,0,0,0
University of Ioannina,0,0,0,0,0,0,1,0,0,0,0
University Of Lancaster,0,0,0,0,0,0,1,0,0,0,0
UNIVERSITY OF MACEDONIA,0,0,0,0,1,0,0,0,0,0,0
University of Messina,0,0,0,0,0,0,1,0,0,0,0
SURREY,0,1,0,0,0,0,0,0,0,0,0
University of Tuzla,0,0,0,0,0,0,1,0,0,0,0
University Of Zagreb,0,0,0,0,0,0,1,0,0,0,0
SB MARIBOR,0,0,0,0,0,0,0,0,1,0,0
UNIWARSAW,0,1,0,0,0,0,0,0,0,0,0
UPC,0,0,0,1,0,0,0,0,0,0,0
STATE FOOD AND VETERINARY SERVICE,0,0,0,0,1,0,0,0,0,0,0
VILA NATURA,0,0,0,0,0,0,0,0,0,1,0
VILNIAUS UNIVERSITETAS,0,0,0,0,1,0,0,0,0,0,0
VLTN,0,0,0,0,0,0,0,0,0,1,0
WU,0,1,1,0,0,1,0,0,0,0,0
WELLICS,0,0,0,1,0,0,0,0,0,0,0
WENGER-TRAYNER,0,0,1,0,0,0,0,0,0,0,0
WHITE RESEARCH,0,0,0,0,1,0,0,0,0,0,0
WISEFOUR,0,0,0,0,0,0,0,0,0,0,1
ZAVOD MENSANA,0,0,0,0,0,0,0,0,0,1,0
ZELENA TOCKA,0,0,0,0,0,0,0,0,0,1,0
ZENITH POLAND,0,0,0,0,1,0,0,0,0,0,0
SCA,0,0,0,1,0,0,0,0,0,0,0
