projectAcronym,FOODGUARD,TITAN,EFF-CoP,WATSON,Infoodmation,TealHelix,CATALYSE,VISION4FOOD,BeSafeBeeHoney,SOSFood,ACT4FOOD,FoodDataQuest,BREADCRUMB,ALLIANCE,SecureFood,OptiFish,CUES,ROSETTA
FENAVIAN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FIIN LTD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FISKERIDIREKTORATET,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FLANDERS' FOOD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FOCOS GMBH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFPTT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODDRINKEUROPE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FIBL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRESHIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FACCSA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRUITVEGETABLES EUROPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AZTI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CARTIF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maldita.es,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UNIMOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gamtos tyrim? centras,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gdansk University of Technology,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AUA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LOBA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Island Ltd,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GR Family Farm,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GS1 GERMANY GMBH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GS1 IN EUROPE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HAMI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELSINGIN YLIOPISTO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERMES AS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hrvatski Veterinarski Institut,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UBER,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ianus Technologies Ltd,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ICLEI EURO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
IGNACIO DE LAS CUEVAS SA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
INESC TEC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INNOV-ACTS Limited,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Ifremer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Institut Jozef Stefan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
INRAE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUTRIS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FINS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
INMES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SAS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IRIAF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IFOAM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILSI Europe A.I.S.B.L.,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AI TALENTUM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IFA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Istituto Zooprofilattico Sperimentale,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ITC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JIBE COMPANY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JRC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June Communications,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KU Leuven,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
KEPKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kingston University,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KISLEPTEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UCPH,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GREEK FAMILY FARM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L&F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LAUREA-AMMATTIKORKEAKOULU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LEHMANN NATUR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IAMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LEIBNIZ-INSTITUT HKI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGC LIMITED,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSMU,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LOKI FOODS EHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LUONNONVARAKESKUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MAA- JA KOTITALOUSNAISTEN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maggioli S.p.A.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MANTISPECTRA B.V.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROLONGO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONAE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MCC BEST VALUE LTD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MENA GROUP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
METRO A.E. ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
METRO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICROBION SRL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIGROS TICARET,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MinAgroKiev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MITERA GMBH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOCHNIK JERZY MICHAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MODELO CONTINENTE HIPERMERCADOS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Montimage EURL ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NUBIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NATURA NUOVA SPA CONSORTILE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NATURMAELK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NETCOMPANY S.A.,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
NIJSEN COMPANY BV,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NOFIMA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NMBU,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
United Aquaculture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OPENDOT SRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Organe Institute ApS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PACK4FOOD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALAU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PANEPISTIMIO THESSALIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BIOR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PEDAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
REGION OF THESSALY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PHILOSOFISH S.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNO INNOVATION SL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
POLYTECHNEIO KRITIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PKCR -  FFDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Poznan University of Life Sciences,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASSOCIATION PROCHEESE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q-PLAN INTERNATIONAL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
QUADRAM INSTITUTE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
REFRAME.FOOD,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
RESILIENCE GUARD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSME,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REZOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RIMI EESTI FOOD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RMS 001 DOO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ROUSSAS DAIRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RUOKAVIRASTO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SAFE FOOD ADVOCACY EUROPE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAKANA CONSULTANTS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIO IKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SIA RIMI BALTIC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SINTEF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINTEF NORD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Slovenska Polnohospodarska,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SUA IN NITRA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SmartAgroHub S.A.,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aprol Umbria,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOFTEAM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SPES GEIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SSAFE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
EFFoST,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
EFDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FAIR TRADE ADVOCACY OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fraude Film Festival,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSSC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VU,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SAR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SVEUCILISTE U ZAGREBU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
SYMBEEOSIS EY ZHN A.E,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SYNELIXIS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYREON,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
TAMPERE UNIVERSITY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TEAGASC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Technical University of Munich,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TU Delft,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TU/e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VTT,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volcani Centre,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
THE LISBON COUNCIL,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The New Fork,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE WORLD BEE PROJECT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TOTALCTRL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUDATOS VASARLOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SETBIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UBITECH LIMITED,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDRUGA DIH AGRIHRANA HRVATSKA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDRUGA PROIZVODACA LICKOG KRUMPIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FOODSCALE HUB,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIONE NAZIONALE CONSUMATORI,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USC,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
UVIGO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UPCT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UCP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Universidade de Coimbra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Universidade Lusófona,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UNL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UCSC,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Unife,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Universita' ta' Malta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BOKU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSITAET ST. GALLEN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSITAT BAYREUTH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
